il,ilce,skor,Kademe
Yozgat,Yenifakılı,-0.352,4. Kademe
Bursa,Orhaneli,-0.354,4. Kademe
Ankara,Kalecik,-0.359,4. Kademe
Mardin,Midyat,-0.36,4. Kademe
Yozgat,Şefaatli,-0.362,4. Kademe
Manisa,Gördes,-0.362,4. Kademe
Gümüşhane,Torul,-0.368,4. Kademe
Afyonkarahisar,Sultandağı,-0.368,4. Kademe
Rize,Derepazarı,-0.37,4. Kademe
Gaziantep,İslahiye,-0.37,4. Kademe
Bursa,Harmancık,-0.372,4. Kademe
Trabzon,Dernekpazarı,-0.374,4. Kademe
Tunceli,Ovacık,-0.375,4. Kademe
Van,Edremit,-0.377,4. Kademe
Kayseri,Bünyan,-0.379,4. Kademe
Denizli,Kale,-0.379,4. Kademe
Erzurum,İspir,-0.381,4. Kademe
Karabük,Eskipazar,-0.383,4. Kademe
Nevşehir,Gülşehir,-0.385,4. Kademe
Hakkari,Çukurca,-0.386,4. Kademe
Konya,Sarayönü,-0.386,4. Kademe
Isparta,Senirkent,-0.387,4. Kademe
Kırklareli,Pehlivanköy,-0.387,4. Kademe
Kahramanmaraş,Pazarcık,-0.388,4. Kademe
Gaziantep,Oğuzeli,-0.389,4. Kademe
Erzincan,Refahiye,-0.391,4. Kademe
Bursa,Keles,-0.392,4. Kademe
Afyonkarahisar,İscehisar,-0.392,4. Kademe
Malatya,Arapgir,-0.393,4. Kademe
Yozgat,Akdağmadeni,-0.393,4. Kademe
Kayseri,Yahyalı,-0.395,4. Kademe
Mardin,Nusaybin,-0.395,4. Kademe
Yozgat,Çayıralan,-0.398,4. Kademe
Sivas,Zara,-0.4,4. Kademe
Eskişehir,Alpu,-0.401,4. Kademe
Çanakkale,Yenice,-0.404,4. Kademe
Artvin,Şavşat,-0.405,4. Kademe
Edirne,İpsala,-0.408,4. Kademe
Yozgat,Sarıkaya,-0.411,4. Kademe
Manisa,Köprübaşı,-0.412,4. Kademe
Elazığ,Keban,-0.416,4. Kademe
Kastamonu,Devrekani,-0.416,4. Kademe
Samsun,Alaçam,-0.417,4. Kademe
Ordu,Perşembe,-0.418,4. Kademe
Isparta,Yenişarbademli,-0.421,4. Kademe
Aydın,Karacasu,-0.422,4. Kademe
Kırıkkale,Karakeçili,-0.423,4. Kademe
Eskişehir,Beylikova,-0.424,4. Kademe
Bolu,Seben,-0.425,4. Kademe
Balıkesir,Savaştepe,-0.426,4. Kademe
Tunceli,Çemişgezek,-0.427,4. Kademe
Afyonkarahisar,Başmakçı,-0.427,4. Kademe
Kastamonu,Hanönü,-0.427,4. Kademe
Elazığ,Kovancılar,-0.428,4. Kademe
Gümüşhane,Kelkit,-0.429,4. Kademe
Malatya,Darende,-0.43,4. Kademe
Bilecik,İnhisar,-0.43,4. Kademe
Denizli,Babadağ,-0.43,4. Kademe
Artvin,Kemalpaşa,-0.432,4. Kademe
Uşak,Sivaslı,-0.434,4. Kademe
Adana,İmamoğlu,-0.434,4. Kademe
Sakarya,Taraklı,-0.437,4. Kademe
Bolu,Göynük,-0.441,4. Kademe
Adıyaman,Besni,-0.444,4. Kademe
Bilecik,Gölpazarı,-0.446,4. Kademe
Burdur,Çavdır,-0.448,4. Kademe
Adana,Yumurtalık,-0.448,4. Kademe
Karabük,Yenice,-0.448,4. Kademe
Kastamonu,Çatalzeytin,-0.448,4. Kademe
Gaziantep,Nurdağı,-0.45,4. Kademe
Bingöl,Yayladere,-0.451,4. Kademe
Kastamonu,Daday,-0.451,4. Kademe
Eskişehir,Mihalgazi,-0.452,4. Kademe
Kastamonu,Azdavay,-0.453,4. Kademe
