ilan_id,oda_sayisi,banyo_sayisi,kat_sayisi,isinma_tipi,cephe,kullanim_durumu
135581-312,3 + 1,1.0,5 Katlı,Kombi,"Doğu, Batı",Kiracılı
138411-289,2 + 1,1.0,5 Katlı,Kombi,"Kuzey, Batı",Kiracılı
140272-461,1 + 1,1.0,4 Katlı,Kombi,"Kuzey, Doğu",Mülk Sahibi
133722-200,1 + 1,1.0,3 Katlı,Kombi,Doğu,Kiracılı
154898-46,2 + 1,1.0,5 Katlı,Soba,"Doğu, Batı",Kiracılı
95132-682,1 + 1,1.0,4 Katlı,Kombi,Güney,Boş
134542-45,2 + 1,1.0,4 Katlı,Soba,"Güney, Batı",Boş
141498-108,2 + 1,1.0,3 Katlı,Kombi,"Güney, Doğu",Mülk Sahibi
153187-51,1 + 1,1.0,4 Katlı,Kombi,"Güney, Batı",Kiracılı
129331-261,3 + 1,1.0,3 Katlı,Kombi,"Güney, Batı",Boş
128355-2017,1 + 1,1.0,3 Katlı,Kombi,"Güney, Batı",Boş
0-44501995,3 + 1,1.0,5 Katlı,Kombi,Kuzey,Mülk Sahibi
129391-408,2 + 1,1.0,6 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
29811-393,3 + 1,1.0,4 Katlı,Kombi,Doğu,Boş
158072-23,1 + 1,1.0,3 Katlı,Belirtilmemiş,"Kuzey, Güney",Kiracılı
60929-331,1 + 1,1.0,8 Katlı,Kombi,"Güney, Batı",Boş
136113-225,3 + 1,1.0,5 Katlı,Soba,Kuzey,Boş
110858-277,11 + 1,1.0,5 Katlı,Soba,"Güney, Doğu",Mülk Sahibi
104770-7203,2 + 1,1.0,4 Katlı,Kombi,"Kuzey, Güney",Boş
111753-2341,2 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu",Boş
127977-229,1 + 1,1.0,5 Katlı,Kombi,"Güney, Batı",Boş
141198-56,1 + 1,1.0,5 Katlı,Soba,"Kuzey, Güney, Doğu",Kiracılı
153855-10,2 + 1,1.0,3 Katlı,Soba,Güney,Mülk Sahibi
146250-77,2 + 1,1.0,3 Katlı,Kombi,Güney,Kiracılı
134486-140,2 + 1,1.0,3 Katlı,Isıtma Yok,"Güney, Doğu, Batı",Kiracılı
131690-254,2 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney",Mülk Sahibi
25150-114,3 + 1,1.0,5 Katlı,Kombi,"Güney, Batı",Mülk Sahibi
150550-31,2 + 1,1.0,4 Katlı,Merkezi,Güney,
0-44318285,1 + 1,1.0,3 Katlı,Kombi,Güney,Kiracılı
92198-1870,3 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",
96795-763,2 + 1,1.0,3 Katlı,Kombi,Güney,Boş
79093-1205,3 + 1,1.0,4 Katlı,Kombi,"Kuzey, Doğu",Boş
46102-240,1 + 1,1.0,4 Katlı,Klima,Batı,Kiracılı
144260-54,2 + 1,1.0,4 Katlı,Kombi,Güney,Boş
140910-48,2 + 1,1.0,3 Katlı,Soba,Güney,Boş
152112-4,1 + 1,1.0,6 Katlı,Klima,"Doğu, Batı",Boş
104770-7193,2 + 1,1.0,7 Katlı,Kombi,"Güney, Doğu",Boş
122811-770,2 + 1,1.0,5 Katlı,Kombi,"Güney, Batı",Boş
139514-262,2 + 1,1.0,4 Katlı,Klima,"Kuzey, Güney, Doğu, Batı",Boş
90932-979,1 + 1,1.0,1 Katlı,Isıtma Yok,"Kuzey, Güney, Doğu",Boş
134211-265,2 + 1,1.0,4 Katlı,Merkezi,"Güney, Batı",Kiracılı
140848-383,1 + 0,1.0,5 Katlı,Kombi,Güney,Boş
